restaurant,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,calories
3,74,26.0,2.0,170,1610,40,2.0,9,46.0,1000
4,44,8.0,0.5,145,1890,32,1.0,1,58.0,760
7,12,4.0,0.0,25,560,17,3.0,1,9.0,210
1,30,7.0,0.0,90,980,40,4.0,34,29.0,560
7,31,8.0,1.0,40,860,47,7.0,2,20.0,540
7,35,8.0,0.5,50,1240,52,7.0,5,21.0,600
2,12,3.0,0.0,55,630,13,1.0,1,22.0,230
4,37,14.0,1.5,110,1310,51,3.0,14,38.0,690
1,17,3.0,1.5,40,780,18,1.0,1,16.0,290
4,53,9.0,0.0,145,1680,53,4.0,0,49.0,890
1,51,12.0,1.0,95,1760,62,3.0,7,32.0,840
3,31,10.0,0.0,100,1470,25,9.0,6,37.0,520
1,18,8.0,0.0,70,520,28,1.0,6,22.0,360
7,14,5.0,0.0,25,770,36,6.0,2,13.0,320
4,22,7.0,0.0,80,870,45,2.0,12,25.0,480
4,27,4.5,0.0,75,840,26,2.0,0,24.0,440
5,26,5.0,0.0,90,1120,42,3.0,1,36.0,550
0,35,13.0,1.0,125,2050,62,4.0,17,43.0,740
7,19,7.0,0.0,20,1090,68,11.0,4,16.0,510
6,5,2.0,0.0,25,640,47,5.0,8,23.0,320
6,2,1.0,0.0,20,570,11,4.0,5,12.0,110
7,35,11.0,0.0,85,1940,91,10.0,6,37.0,830
4,107,18.0,0.5,295,3370,105,7.0,1,98.0,1770
6,58,20.0,0.0,150,2940,94,10.0,18,52.0,1100
7,13,5.0,0.0,25,770,36,7.0,2,14.0,320
3,18,9.0,1.0,65,930,35,1.0,9,20.0,400
7,18,4.5,0.0,30,960,45,3.0,3,16.0,400
3,53,9.0,1.0,80,2780,105,9.0,4,35.0,1030
5,24,9.0,0.5,55,730,32,1.0,4,20.0,410
2,14,5.0,0.0,60,960,29,15.0,3,37.0,350
6,13,3.5,0.0,30,860,49,8.0,7,22.0,390
1,24,7.0,0.0,85,1070,30,5.0,6,29.0,450
6,34,14.0,0.0,70,1420,97,4.0,8,39.0,820
4,21,3.5,0.0,70,910,16,0.0,0,28.0,370
7,19,4.5,0.0,20,870,49,5.0,3,12.0,420
3,15,4.0,0.0,20,450,26,1.0,7,6.0,260
4,23,5.0,0.0,60,1050,64,4.0,11,28.0,570
5,46,8.0,1.0,55,2160,109,7.0,9,30.0,970
0,17,6.0,0.0,35,930,23,1.0,2,13.0,300
2,19,3.0,0.0,80,1130,55,5.0,12,28.0,490
4,31,10.0,0.5,155,1940,62,2.0,18,55.0,750
6,18,8.0,0.0,40,1360,86,10.0,12,30.0,640
7,4,1.0,0.0,25,460,18,2.0,2,11.0,150
5,14,4.0,0.0,10,1350,64,5.0,8,15.0,450
3,24,11.0,1.0,50,1000,26,1.0,3,16.0,390
4,45,17.0,1.5,130,1580,62,2.0,18,46.0,840
7,24,9.0,0.0,50,1520,75,5.0,5,25.0,610
6,16,8.0,1.0,85,1080,17,5.0,6,32.0,330
0,31,8.0,0.5,80,2420,62,4.0,5,37.0,680
4,5,1.5,0.0,65,630,35,2.0,3,24.0,290
6,10,2.0,0.0,100,1800,118,10.0,36,52.0,760
6,11,4.0,0.0,45,820,12,4.0,5,12.0,180
1,32,5.0,0.0,95,1640,26,3.0,6,35.0,530
5,33,5.0,0.0,45,1060,47,4.0,6,23.0,570
4,12,5.0,0.0,40,660,9,3.0,3,14.0,190
6,3,1.0,0.0,20,590,11,4.0,6,12.0,110
0,24,9.0,1.5,95,1610,38,2.0,5,38.0,510
7,41,6.0,0.0,30,1420,73,10.0,4,13.0,710
1,15,3.0,0.0,20,570,11,2.0,0,8.0,210
7,22,8.0,0.0,35,1270,68,8.0,5,19.0,550
7,17,8.0,1.0,35,930,41,5.0,2,16.0,380
5,32,6.0,1.0,65,1890,41,5.0,2,27.0,560
1,18,3.0,0.0,40,950,19,1.0,1,15.0,300
6,11,5.0,0.0,45,1210,47,5.0,8,23.0,370
7,27,6.0,0.0,60,1960,96,12.0,7,32.0,760
6,52,14.0,0.0,140,3200,92,10.0,16,66.0,1140
2,13,6.0,0.0,75,1000,48,4.0,10,34.0,450
2,17,3.0,0.0,70,940,22,1.0,3,28.0,350
7,18,4.0,0.0,30,570,29,3.0,4,14.0,340
5,21,4.0,0.0,70,900,34,2.0,1,29.0,440
3,34,18.0,2.0,125,1240,34,1.0,9,34.0,630
1,45,11.0,0.0,95,1720,58,3.0,8,32.0,760
5,16,3.0,0.0,55,670,25,2.0,0,22.0,330
6,17,7.0,1.0,30,720,25,6.0,10,16.0,310
1,16,3.0,0.0,5,1030,44,7.0,8,22.0,410
7,9,4.0,0.0,25,340,13,2.0,1,8.0,170
7,31,11.0,0.5,65,1410,64,3.0,4,25.0,630
6,32,13.0,0.0,60,1350,96,4.0,8,38.0,790
0,39,14.0,2.0,130,2530,48,2.0,9,49.0,740
1,126,47.0,8.0,805,1820,21,3.0,7,134.0,1550
4,12,4.5,0.0,110,1070,27,6.0,9,37.0,350
6,5,2.0,0.0,40,700,45,5.0,7,24.0,320
1,82,31.0,3.5,230,2270,69,3.0,14,60.0,1250
4,15,3.5,0.0,40,600,40,2.0,5,15.0,350
2,6,3.0,0.0,25,320,6,0.0,1,11.0,120
3,0,0.0,0.0,0,15,5,2.0,3,1.0,20
6,37,12.0,1.0,100,2250,65,4.0,7,43.0,760
3,35,11.0,1.0,75,820,39,2.0,8,24.0,570
4,21,11.0,1.0,85,1040,35,2.0,7,25.0,430
1,39,7.0,1.0,65,1390,46,3.0,4,24.0,630
7,29,9.0,1.0,60,1270,59,8.0,7,23.0,580
2,6,1.5,0.0,40,490,5,1.0,0,14.0,130
5,61,12.0,0.5,125,4520,70,5.0,12,23.0,1000
7,36,12.0,1.0,70,2020,91,10.0,7,33.0,820
2,18,0.0,0.0,95,1200,46,2.0,10,33.0,500
7,12,4.5,0.0,35,370,15,3.0,3,9.0,200
4,40,6.0,0.0,160,2670,94,3.0,52,58.0,960
2,12,3.0,0.0,70,990,9,1.0,1,28.0,260
3,24,11.0,1.0,55,900,23,1.0,3,16.0,380
7,15,1.5,0.0,0,600,41,6.0,2,7.0,320
0,28,4.0,0.0,75,1590,47,3.0,0,39.0,600
7,20,8.0,0.5,40,630,30,4.0,3,13.0,350
7,18,5.0,0.0,20,1030,55,4.0,3,13.0,440
3,45,25.0,0.0,150,900,0,0.0,0,35.0,550
7,9,4.0,0.0,25,510,19,3.0,1,10.0,200
7,9,3.0,0.0,0,950,57,9.0,3,11.0,350
6,26,8.0,0.0,100,2280,92,10.0,14,36.0,740
7,14,5.0,0.0,30,550,31,4.0,6,13.0,300
1,65,24.0,3.0,205,1550,46,2.0,7,55.0,990
7,10,3.5,0.0,25,370,12,3.0,1,8.0,170
5,20,4.0,0.0,80,940,33,2.0,6,28.0,430
6,15,5.0,0.0,45,1060,13,4.0,8,14.0,230
6,36,12.0,0.0,100,1180,94,10.0,16,38.0,860
1,39,9.0,0.0,90,1930,63,0.0,16,32.0,730
7,12,5.0,0.0,30,390,15,3.0,2,9.0,200
5,24,4.0,0.0,35,740,43,1.0,4,19.0,450
7,28,10.0,1.0,55,890,40,5.0,5,20.0,490
2,23,7.0,0.0,75,1590,42,3.0,6,31.0,500
6,15,6.0,0.0,45,1060,12,4.0,6,14.0,230
6,36,14.0,2.0,60,1900,118,16.0,24,42.0,960
5,20,7.0,0.0,40,2310,49,1.0,17,14.0,430
3,15,3.0,0.0,50,1040,32,1.0,5,25.0,360
5,14,2.5,0.0,0,800,16,0.0,0,22.0,280
4,35,12.0,1.5,95,1010,56,4.0,13,32.0,670
5,24,4.5,0.0,0,1340,26,0.0,0,37.0,470
5,100,17.0,0.0,190,2180,69,4.0,10,23.0,1350
1,25,2.5,0.0,5,1160,42,2.0,10,22.0,480
0,11,4.0,0.0,30,920,40,2.0,5,18.0,330
7,12,5.0,0.0,35,320,15,3.0,2,9.0,200
0,46,7.0,0.5,65,980,53,4.0,9,22.0,710
7,11,4.0,0.0,15,650,32,8.0,2,12.0,270
6,26,7.0,0.0,60,1720,98,16.0,14,44.0,780
5,30,7.0,0.0,110,1570,44,3.0,8,40.0,610
1,14,6.0,0.0,115,650,16,2.0,4,36.0,320
5,37,14.0,2.0,100,860,46,2.0,10,32.0,650
2,3,1.0,0.0,50,330,2,0.0,0,19.0,110
1,41,9.0,0.0,80,1090,54,5.0,37,28.0,700
3,21,5.0,0.0,35,820,30,2.0,1,12.0,350
0,35,10.0,0.0,110,2000,53,1.0,7,41.0,690
0,20,6.0,1.0,50,1280,45,2.0,9,23.0,450
7,28,10.0,1.0,55,890,40,5.0,4,20.0,490
6,10,2.0,0.0,90,1780,90,10.0,14,50.0,660
7,23,5.0,0.0,20,900,43,3.0,4,12.0,430
4,28,4.5,0.0,95,1290,21,0.0,1,38.0,480
7,14,7.0,1.0,40,740,21,3.0,2,14.0,270
3,49,21.0,2.0,100,1570,48,2.0,6,32.0,760
6,13,4.0,0.0,50,1140,46,5.0,7,18.0,370
1,25,4.5,0.0,35,850,35,2.0,5,12.0,410
1,20,4.0,0.0,10,540,7,2.0,3,6.0,220
7,29,9.0,0.5,50,1130,52,7.0,4,20.0,550
0,53,15.0,0.0,85,1310,39,5.0,7,22.0,720
6,3,0.5,0.0,10,450,30,3.0,5,10.0,180
1,47,16.0,1.0,100,1410,53,3.0,11,33.0,760
4,9,1.0,0.0,80,740,18,5.0,10,31.0,270
5,30,5.0,0.0,80,1500,51,3.0,0,36.0,610
1,31,14.0,1.0,105,1180,33,1.0,8,31.0,520
1,19,3.5,0.0,85,850,39,2.0,6,37.0,470
5,43,17.0,2.0,120,1120,44,2.0,7,35.0,710
5,51,9.0,1.0,75,2390,118,8.0,9,37.0,1080
4,34,13.0,1.5,95,790,48,3.0,11,32.0,620
5,17,3.0,0.0,45,860,30,2.0,0,21.0,350
5,87,34.0,4.0,245,1520,45,2.0,8,63.0,1220
7,11,4.0,0.0,5,960,56,9.0,3,13.0,370
7,12,4.0,0.0,10,1100,62,8.0,3,14.0,410
7,32,12.0,1.0,70,1110,44,7.0,5,25.0,570
6,2,0.0,0.0,0,190,29,3.0,4,6.0,150
7,9,3.0,0.0,15,1060,50,7.0,4,15.0,340
6,24,4.0,0.0,40,370,10,4.0,4,15.0,310
1,19,8.0,1.0,40,980,28,2.0,5,14.0,330
4,20,5.0,0.0,115,1550,56,4.0,14,41.0,560
6,3,1.0,0.0,25,580,11,4.0,5,12.0,110
5,17,6.0,1.0,35,640,34,1.0,6,15.0,340
4,70,12.0,1.0,240,3230,52,1.0,4,94.0,1210
7,34,12.0,0.5,60,1450,65,6.0,5,22.0,650
7,42,10.0,1.0,60,1340,74,11.0,7,26.0,780
7,35,8.0,0.5,50,1010,50,6.0,5,21.0,600
4,11,2.0,0.0,30,340,11,1.0,0,10.0,180
5,64,15.0,0.5,100,2070,65,4.0,12,39.0,100
7,10,2.5,0.0,10,440,22,4.0,1,7.0,200
5,92,36.0,4.0,260,1630,44,2.0,7,67.0,1280
7,13,3.0,0.0,10,510,28,3.0,1,6.0,250
1,65,24.0,2.0,160,1480,53,3.0,11,52.0,990
4,18,4.0,0.0,40,640,38,2.0,5,15.0,380
2,12,4.5,0.0,85,1310,47,5.0,9,33.0,430
6,10,2.0,0.0,40,1660,92,10.0,16,36.0,580
5,39,9.0,0.0,80,1120,53,4.0,7,31.0,680
2,5,1.0,0.0,100,670,3,0.0,1,38.0,210
0,36,15.0,1.0,115,1760,44,2.0,9,30.0,650
3,66,11.0,1.0,120,3500,121,12.0,4,49.0,1260
7,10,3.5,0.0,25,350,13,2.0,1,8.0,160
7,10,4.0,0.0,40,510,29,2.0,6,16.0,270
0,7,2.5,0.0,25,760,21,1.0,2,14.0,200
6,19,3.0,0.0,20,690,51,5.0,8,13.0,420
5,18,7.0,0.0,35,910,27,1.0,2,11.0,320
6,24,9.0,1.0,50,1520,46,5.0,8,20.0,480
7,26,5.0,0.0,10,1750,107,17.0,8,20.0,740
7,17,3.5,0.0,0,930,55,6.0,4,11.0,420
3,26,8.0,0.0,60,1420,45,3.0,3,30.0,550
3,20,3.0,0.0,60,960,22,10.0,0,22.0,350
5,11,4.0,0.0,20,530,23,2.0,4,6.0,210
0,28,7.0,0.0,65,1930,79,5.0,15,38.0,710
7,21,6.0,0.0,30,1110,71,7.0,7,16.0,540
0,26,4.5,0.0,60,1480,52,2.0,6,29.0,550
7,28,10.0,0.0,70,2230,67,8.0,4,34.0,650
6,9,3.0,0.0,60,1120,26,3.0,22,25.0,300
3,30,11.0,1.0,70,1020,44,3.0,13,23.0,540
5,76,32.0,4.0,235,1620,47,2.0,11,63.0,1130
0,29,7.0,1.0,60,1290,48,3.0,5,24.0,550
5,76,32.0,4.0,235,1690,43,2.0,7,63.0,1120
0,59,10.0,1.0,75,1510,59,4.0,14,26.0,590
4,33,7.0,0.0,80,1430,75,5.0,13,32.0,730
4,27,13.0,1.5,100,1090,41,3.0,10,31.0,530
7,38,10.0,0.5,50,1850,87,9.0,8,23.0,780
4,34,9.0,0.0,85,1190,67,5.0,11,33.0,700
6,5,2.0,0.0,40,880,46,5.0,7,23.0,310
0,17,5.0,1.0,45,1060,45,3.0,11,23.0,430
7,28,12.0,1.0,75,1210,41,4.0,3,27.0,520
0,20,3.5,0.0,45,1520,48,3.0,5,25.0,470
7,21,3.0,0.0,10,1310,75,14.0,4,14.0,540
7,28,12.0,1.0,65,1250,41,4.0,3,25.0,520
1,19,5.0,0.0,40,510,28,2.0,6,14.0,340
1,57,19.0,2.0,140,1050,51,3.0,11,47.0,900
7,29,11.0,0.5,80,2080,68,7.0,4,35.0,670
7,21,5.0,0.0,30,570,31,4.0,4,13.0,370
6,12,3.0,0.0,100,1080,88,10.0,14,58.0,700
5,19,7.0,0.0,40,1250,30,3.0,4,13.0,340
3,9,1.0,0.0,0,500,36,2.0,1,7.0,250
6,23,9.0,1.0,50,1280,11,4.0,6,15.0,310
1,42,7.0,0.0,65,1140,57,3.0,8,25.0,700
6,28,10.0,1.0,95,1080,47,5.0,8,35.0,570
0,36,17.0,2.0,150,3350,51,2.0,3,55.0,750
3,25,8.0,0.0,60,1530,68,4.0,3,34.0,640
0,55,14.0,0.0,85,2130,80,6.0,19,43.0,980
7,24,9.0,0.0,55,1510,74,5.0,5,25.0,610
0,24,4.5,0.0,60,2110,53,2.0,6,29.0,540
5,18,7.0,0.0,40,1180,40,1.0,15,12.0,370
6,30,9.0,0.0,170,3540,90,14.0,24,78.0,940
3,18,9.0,1.0,65,930,34,1.0,8,19.0,400
7,29,9.0,1.0,60,1270,59,8.0,7,23.0,580
3,34,7.0,0.0,45,910,48,2.0,6,19.0,580
0,33,12.0,1.0,105,1460,51,2.0,15,38.0,650
6,48,18.0,2.0,100,3040,92,10.0,16,40.0,960
0,32,11.0,0.5,105,1950,46,3.0,4,42.0,640
6,25,11.0,0.0,50,1270,100,5.0,9,36.0,740
6,26,4.0,0.0,60,1100,13,4.0,6,20.0,360
7,22,6.0,0.0,25,1120,55,4.0,5,13.0,470
7,12,5.0,0.0,40,1050,52,7.0,5,19.0,390
6,5,1.0,0.0,45,890,45,5.0,7,25.0,330
3,51,20.0,2.0,135,1280,44,3.0,13,40.0,800
4,8,3.0,0.0,30,480,31,2.0,6,13.0,250
7,8,3.0,0.0,25,1020,50,7.0,4,17.0,340
5,39,8.0,0.0,90,1550,63,4.0,12,33.0,740
7,42,14.0,1.0,75,2020,94,12.0,6,31.0,880
6,15,4.5,0.0,85,1770,45,7.0,12,39.0,470
7,27,11.0,1.0,50,1000,40,4.0,3,19.0,480
2,11,2.5,0.0,45,800,26,1.0,4,16.0,270
1,21,5.0,0.0,30,520,7,2.0,3,5.0,230
5,14,4.0,0.0,10,1410,67,5.0,11,15.0,450
3,48,22.0,2.0,150,1390,34,1.0,7,41.0,780
0,28,6.0,0.0,65,2140,80,6.0,16,41.0,730
7,23,5.0,0.0,30,690,44,7.0,3,12.0,430
0,31,9.0,0.0,90,1750,56,2.0,9,39.0,650
6,6,1.5,0.0,50,540,44,5.0,7,29.0,350
6,7,1.0,0.0,10,800,56,8.0,8,23.0,390
1,14,6.0,0.5,40,720,28,1.0,7,12.0,290
0,32,11.0,1.5,100,2100,48,2.0,9,39.0,630
4,67,27.0,3.0,220,1920,63,3.0,18,70.0,1130
6,4,1.0,0.0,20,820,46,5.0,8,18.0,280
1,10,4.0,0.0,35,490,28,1.0,6,13.0,260
1,55,11.0,0.0,130,1530,50,5.0,0,51.0,950
1,40,12.0,1.5,90,980,49,2.0,11,28.0,660
6,34,10.0,0.5,135,1900,53,3.0,4,55.0,730
0,9,3.5,0.0,30,890,21,1.0,1,14.0,220
7,23,10.0,0.5,60,840,36,3.0,3,22.0,440
4,28,8.0,0.0,95,1120,28,4.0,4,33.0,490
6,3,1.0,0.0,50,660,24,4.0,16,20.0,200
4,45,21.0,2.5,175,1290,42,3.0,10,51.0,770
4,18,6.0,0.0,115,1540,50,4.0,12,40.0,520
5,43,17.0,2.0,120,1190,47,2.0,10,35.0,720
6,24,4.0,0.0,30,620,44,5.0,6,20.0,470
0,24,7.0,0.0,65,1610,37,2.0,9,30.0,480
2,16,8.0,0.0,85,1120,37,3.0,7,37.0,430
7,22,4.0,0.0,60,1520,64,9.0,4,26.0,560
0,11,4.5,0.0,30,670,21,1.0,1,14.0,240
3,48,13.0,0.5,45,2210,95,5.0,2,23.0,910
6,2,0.5,0.0,10,380,30,3.0,5,10.0,180
5,26,10.0,0.0,50,1410,46,2.0,7,15.0,500
6,3,0.5,0.0,50,280,10,4.0,4,19.0,140
0,13,7.0,0.0,55,870,8,2.0,5,22.0,230
4,33,12.0,1.5,95,920,41,4.0,7,29.0,580
3,75,43.0,1.0,180,2210,52,0.0,30,43.0,1050
0,14,5.0,0.5,50,970,37,2.0,5,23.0,360
0,30,12.0,2.0,130,2040,38,2.0,5,48.0,610
6,29,10.0,0.0,75,1470,47,5.0,9,26.0,550
7,13,5.0,0.0,25,760,36,7.0,2,14.0,320
7,23,10.0,0.5,45,1760,68,7.0,5,22.0,570
1,21,3.5,0.0,45,1200,21,1.0,1,16.0,340
0,31,9.0,0.0,90,1990,66,3.0,16,38.0,690
5,37,14.0,2.0,100,930,42,2.0,6,31.0,640
6,22,10.0,0.0,90,1420,94,10.0,16,46.0,740
6,4,0.0,0.0,45,680,8,3.0,3,19.0,150
0,31,9.0,0.0,90,1990,66,3.0,16,38.0,690
7,9,5.0,0.0,20,450,18,2.0,1,9.0,190
6,14,2.0,0.0,20,1600,112,16.0,16,46.0,780
6,10,4.0,0.0,80,1760,92,10.0,14,46.0,620
6,5,1.0,0.0,50,900,59,5.0,18,26.0,380
6,56,20.0,2.0,190,2160,94,10.0,16,70.0,1140
2,19,4.0,0.0,60,1620,41,1.0,5,29.0,450
4,24,4.0,0.0,65,1040,49,3.0,6,25.0,510
4,21,8.0,0.0,135,1890,50,3.0,14,48.0,580
7,18,8.0,0.5,40,1050,39,4.0,3,18.0,390
1,17,3.0,0.0,20,870,53,2.0,14,12.0,410
1,26,12.0,1.0,95,960,29,1.0,6,26.0,450
0,17,2.5,0.0,45,950,28,2.0,0,23.0,360
2,6,2.0,0.0,55,820,36,3.0,7,29.0,310
0,34,10.0,0.5,80,2420,79,5.0,16,45.0,800
6,42,13.0,0.5,75,2970,62,3.0,6,43.0,810
2,25,8.0,0.0,80,1760,43,2.0,6,34.0,540
6,8,4.0,0.0,50,830,14,4.0,6,20.0,210
1,27,12.0,1.5,95,1140,48,2.0,10,30.0,550
6,31,11.0,0.0,85,1470,47,5.0,7,29.0,580
7,14,4.0,0.0,30,550,19,2.0,2,11.0,250
5,48,15.0,2.0,110,760,44,2.0,7,31.0,740
7,26,7.0,1.0,45,1360,59,7.0,4,19.0,540
6,48,8.0,0.0,60,1240,88,10.0,12,40.0,940
7,17,8.0,1.0,35,930,41,5.0,2,16.0,380
3,13,2.0,0.0,40,670,24,9.0,6,17.0,280
6,34,18.0,2.0,170,2620,102,12.0,16,76.0,1000
3,20,8.0,0.0,65,1190,45,3.0,3,33.0,500
4,28,8.0,0.0,95,1120,28,4.0,4,33.0,490
7,35,7.0,0.0,70,1260,70,8.0,8,32.0,720
6,12,4.5,0.0,65,1320,11,4.0,5,28.0,280
6,5,1.5,0.0,100,490,10,4.0,4,36.0,220
5,26,11.0,0.0,65,1140,30,2.0,4,17.0,410
1,28,4.5,0.0,30,760,34,2.0,4,12.0,430
7,36,8.0,1.0,55,1340,70,8.0,8,28.0,720
7,20,4.0,0.0,25,900,42,3.0,3,15.0,400
5,23,6.0,1.0,40,470,32,1.0,4,15.0,380
6,4,1.0,0.0,20,810,46,5.0,7,18.0,280
5,54,18.0,2.0,130,1090,44,2.0,7,35.0,800
7,8,2.5,0.0,25,540,15,2.0,1,12.0,180
4,141,24.0,2.0,475,6080,103,2.0,3,186.0,2430
6,24,9.0,1.0,50,1480,47,5.0,8,24.0,490
2,19,4.0,0.0,60,1350,40,2.0,5,28.0,440
7,29,10.0,1.0,55,810,39,5.0,6,20.0,490
7,8,2.0,0.0,20,290,13,3.0,1,6.0,140
7,37,13.0,0.5,75,1480,51,5.0,3,26.0,650
4,22,7.0,0.0,135,1930,61,4.0,18,48.0,630
6,10,4.0,0.0,80,1400,90,10.0,14,48.0,640
3,20,8.0,1.0,40,1050,24,1.0,5,13.0,330
1,41,7.0,0.5,60,1070,54,2.0,7,23.0,670
6,1,0.0,0.0,0,65,9,4.0,4,3.0,50
7,20,8.0,0.0,55,1740,66,5.0,5,24.0,540
6,10,5.0,0.0,45,910,13,4.0,6,18.0,200
2,23,3.0,0.0,90,1250,29,1.0,4,37.0,470
7,26,10.0,0.5,45,1530,76,7.0,5,22.0,630
7,10,4.0,0.0,25,290,12,3.0,1,8.0,170
7,26,11.0,1.0,50,890,38,4.0,3,19.0,460
5,14,4.0,0.0,10,1300,64,5.0,8,15.0,450
7,16,7.0,0.0,35,1090,53,8.0,5,16.0,420
4,12,5.0,0.5,40,680,33,2.0,7,15.0,300
0,37,9.0,0.0,55,700,11,2.0,4,10.0,420
4,88,15.0,1.0,295,3770,64,1.0,2,115.0,1510
5,37,14.0,2.0,100,790,43,2.0,7,31.0,640
4,16,2.5,0.0,45,510,16,1.0,0,15.0,270
0,8,3.0,0.0,25,780,21,1.0,2,13.0,210
7,21,9.0,0.0,50,1750,66,5.0,5,24.0,550
7,13,5.0,0.0,30,1090,52,7.0,5,17.0,390
3,26,11.0,1.0,60,1140,26,1.0,3,19.0,420
0,23,11.0,1.0,85,2500,50,2.0,3,35.0,540
7,11,4.0,0.0,30,550,29,2.0,6,14.0,270
7,7,3.0,0.0,20,500,20,3.0,2,8.0,170
2,9,1.5,0.0,55,730,7,1.0,0,21.0,190
3,20,8.0,1.0,35,1000,30,1.0,6,13.0,350
7,28,6.0,0.0,65,1070,23,4.0,2,19.0,420
7,4,2.0,0.0,15,500,19,2.0,2,9.0,150
4,20,7.0,0.0,125,1150,48,3.0,11,42.0,530
6,22,9.0,0.0,40,1070,96,4.0,7,32.0,680
6,38,12.0,1.0,100,1040,14,4.0,7,30.0,510
0,13,2.0,0.0,20,860,31,2.0,2,12.0,290
6,16,6.0,0.0,45,1300,46,5.0,8,20.0,410
1,17,3.0,0.0,40,460,15,1.0,0,15.0,290
5,43,17.0,2.0,120,1120,43,2.0,7,35.0,710
0,40,14.0,0.5,100,2270,49,3.0,7,32.0,680
7,30,9.0,0.5,45,1550,85,9.0,7,23.0,700
6,29,11.0,0.0,85,1250,12,4.0,4,23.0,400
6,4,1.0,0.0,40,640,11,4.0,5,17.0,140
